timestamp,act_lZygomaticusMajorLandmark,act_lDepressorAnguliOrisLandmark,act_lRisoriusLandmark,act_OrbicularisOrisCenter,act_rZygomaticusMajorLandmark,act_rDepressorAnguliOrisLandmark,act_rRisoriusLandmark,act_lFrontalisInsideLandmark,act_LCorrugatorSuperciliiLandmark,act_rFrontalisInsideLandmark,act_RCorrugatorSuperciliiLandmark,act_RLevatorLabiiSuperiorisLandmark,act_LLevatorLabiiSuperiorisLandmark,act_BridgeOfTheNose,act_LDepressorLabiiInferiorisLandmark,act_RDepressorLabiiInferiorisLandmark,act_lFrontalisOuterLandmark,act_rFrontalisOuterLandmark,act_LOrbicularisOculi,act_ROrbicularisOculi,str_lZygomaticusMajorLandmark,str_lDepressorAnguliOrisLandmark,str_lRisoriusLandmark,str_OrbicularisOrisCenter,str_rZygomaticusMajorLandmark,str_rDepressorAnguliOrisLandmark,str_rRisoriusLandmark,str_lFrontalisInsideLandmark,str_LCorrugatorSuperciliiLandmark,str_rFrontalisInsideLandmark,str_RCorrugatorSuperciliiLandmark,str_RLevatorLabiiSuperiorisLandmark,str_LLevatorLabiiSuperiorisLandmark,str_BridgeOfTheNose,str_LDepressorLabiiInferiorisLandmark,str_RDepressorLabiiInferiorisLandmark,str_lFrontalisOuterLandmark,str_rFrontalisOuterLandmark,str_LOrbicularisOculi,str_ROrbicularisOculi,str_JawSlide,iris_LEye_x,iris_LEye_y,iris_REye_x,iris_REye_y
1.1547,0.06229,0.00000,0.04836,0.00000,0.05658,0.00176,0.04510,0.01892,0.03861,0.01676,0.04613,0.05523,0.05936,0.05193,0.02558,0.03358,0.02481,0.02222,0.88710,0.91378,-0.06229,0.00068,-0.04836,0.00116,-0.05658,-0.00176,-0.04510,-0.01892,-0.03861,-0.01676,-0.04613,-0.05523,-0.05936,-0.05193,-0.02558,-0.03358,-0.02481,-0.02222,-0.88710,-0.91378,0.00966,0.04437,2.23291,-0.08461,1.64284
1.1940,0.06194,0.00000,0.04778,0.00000,0.05642,0.00256,0.04486,0.01861,0.03903,0.01608,0.04676,0.05523,0.05930,0.05205,0.02566,0.03370,0.02348,0.02073,0.89598,0.92066,-0.06194,0.00012,-0.04778,0.00022,-0.05642,-0.00256,-0.04486,-0.01861,-0.03903,-0.01608,-0.04676,-0.05523,-0.05930,-0.05205,-0.02566,-0.03370,-0.02348,-0.02073,-0.89598,-0.92066,0.00965,0.04392,2.39230,-0.08450,1.73810
1.2311,0.06114,0.00000,0.04682,0.00176,0.05641,0.00170,0.04372,0.01816,0.03981,0.01509,0.04798,0.05528,0.05961,0.05244,0.02519,0.03334,0.02116,0.01951,0.89460,0.92408,-0.06114,0.00041,-0.04682,-0.00176,-0.05641,-0.00170,-0.04372,-0.01816,-0.03981,-0.01509,-0.04798,-0.05528,-0.05961,-0.05244,-0.02519,-0.03334,-0.02116,-0.01951,-0.89460,-0.92408,0.00990,0.04407,2.43390,-0.08378,1.63512
1.2700,0.06141,0.00000,0.04643,0.00317,0.05730,0.00068,0.04327,0.01805,0.03991,0.01506,0.04777,0.05545,0.06003,0.05294,0.02457,0.03275,0.02072,0.02027,0.87083,0.89957,-0.06141,0.00071,-0.04643,-0.00317,-0.05730,-0.00068,-0.04327,-0.01805,-0.03991,-0.01506,-0.04777,-0.05545,-0.06003,-0.05294,-0.02457,-0.03275,-0.02072,-0.02027,-0.87083,-0.89957,0.00965,0.04692,1.73752,-0.08422,1.31840
1.3075,0.06206,0.00000,0.04546,0.00180,0.05899,0.00000,0.04368,0.01801,0.04015,0.01534,0.04762,0.05563,0.06044,0.05373,0.02317,0.03166,0.02041,0.02120,0.87772,0.89951,-0.06206,0.00186,-0.04546,-0.00180,-0.05899,0.00088,-0.04368,-0.01801,-0.04015,-0.01534,-0.04762,-0.05563,-0.06044,-0.05373,-0.02317,-0.03166,-0.02041,-0.02120,-0.87772,-0.89951,0.00955,0.03917,1.71610,-0.08319,1.36521
1.3469,0.06393,0.00000,0.04608,0.00000,0.06060,0.00000,0.04669,0.01779,0.04003,0.01533,0.04692,0.05579,0.06073,0.05400,0.02288,0.03181,0.01935,0.02139,0.95103,0.95226,-0.06393,0.00216,-0.04608,0.00428,-0.06060,0.00103,-0.04669,-0.01779,-0.04003,-0.01533,-0.04692,-0.05579,-0.06073,-0.05400,-0.02288,-0.03181,-0.01935,-0.02139,-0.95103,-0.95226,0.00967,0.03390,-16.73903,-0.07532,17.17382
1.3840,0.06202,0.00000,0.04170,0.00000,0.06144,0.00000,0.04392,0.01817,0.03750,0.01494,0.04324,0.05636,0.06165,0.05414,0.02740,0.03543,0.02103,0.02649,0.53244,0.61281,-0.06202,0.00148,-0.04170,0.00889,-0.06144,0.00185,-0.04392,-0.01817,-0.03750,-0.01494,-0.04324,-0.05636,-0.06165,-0.05414,-0.02740,-0.03543,-0.02103,-0.02649,-0.53244,-0.61281,0.01040,0.01783,-0.00950,-0.03613,-0.02469
1.4229,0.05964,0.00000,0.03910,0.00000,0.06132,0.00000,0.04243,0.01793,0.03607,0.01422,0.03920,0.05738,0.06262,0.05447,0.02982,0.03698,0.02731,0.02736,0.37946,0.48468,-0.05964,0.00320,-0.03910,0.01035,-0.06132,0.00244,-0.04243,-0.01793,-0.03607,-0.01422,-0.03920,-0.05738,-0.06262,-0.05447,-0.02982,-0.03698,-0.02731,-0.02736,-0.37946,-0.48468,0.01102,0.00749,0.04815,-0.02243,0.01495
1.4598,0.05774,0.00000,0.03750,0.00000,0.06116,0.00000,0.04594,0.01803,0.03343,0.01373,0.03547,0.05748,0.06316,0.05455,0.02787,0.03586,0.03453,0.02839,0.26097,0.34640,-0.05774,0.00544,-0.03750,0.01949,-0.06116,0.00680,-0.04594,-0.01803,-0.03343,-0.01373,-0.03547,-0.05748,-0.06316,-0.05455,-0.02787,-0.03586,-0.03453,-0.02839,-0.26097,-0.34640,0.01207,-0.00370,0.06207,-0.00526,0.01856
1.4982,0.05855,0.00000,0.03772,0.00000,0.06247,0.00000,0.04735,0.01840,0.03189,0.01372,0.03426,0.05751,0.06319,0.05440,0.02685,0.03481,0.03674,0.02964,0.23487,0.30720,-0.05855,0.00724,-0.03772,0.02430,-0.06247,0.00981,-0.04735,-0.01840,-0.03189,-0.01372,-0.03426,-0.05751,-0.06319,-0.05440,-0.02685,-0.03481,-0.03674,-0.02964,-0.23487,-0.30720,0.01210,-0.00809,0.05354,0.00046,0.01618
